,correct_letter,original,permutation,normal_question
174,A,"{'burden': 'A', 'storm': 'B', 'federal': 'C'}","{'A': 'burden', 'B': 'storm', 'C': 'federal'}","TEXT: Overall, New Hampshire remains ranked 49th among states in combined average state and local tax burden. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) burden
 B) storm
 C) federal
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
175,C,"{'obstacle': 'A', 'culture': 'B', 'elegant': 'C'}","{'A': 'culture', 'B': 'elegant', 'C': 'obstacle'}","TEXT: Others will go to great lengths to explain how the hijab is an obstacle, clouding the mind, and comment that female converts are either brainwashed, stupid or traitors to their sex. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) culture
 B) elegant
 C) obstacle
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
176,C,"{'burden': 'A', 'storm': 'B', 'mosquito-borne': 'C'}","{'A': 'mosquito-borne', 'B': 'storm', 'C': 'burden'}","TEXT: As above, the model does not produce a confidence interval or precision estimates; however, as an approximate measure of uncertainty, we entered the lower and upper bounds of the precision estimate for the malaria mortality burden from Group 1 countries (i.e., 19.8% and 24.9%) into the Jones and others model. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) mosquito-borne
 B) storm
 C) burden
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
177,B,"{'cakewalk': 'A', 'wildfire': 'B', 'strategic': 'C'}","{'A': 'strategic', 'B': 'cakewalk', 'C': 'wildfire'}","TEXT: This was an elaborate war game, not the real thing, but it reminds us that an invasion of Iraq won't necessarily be a cakewalk."" 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) strategic
 B) cakewalk
 C) wildfire
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
178,A,"{'route': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'route', 'B': 'widespread', 'C': 'storm'}","TEXT: Donor nations, including Britain, are funding training and infrastructure projects in the belief that tourism is the country's route out of poverty. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) route
 B) widespread
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
179,C,"{'system': 'A', 'bridge': 'B', 'sacred': 'C'}","{'A': 'bridge', 'B': 'sacred', 'C': 'system'}","TEXT: How to tell if the religion or faith-based system you follow is false 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bridge
 B) sacred
 C) system
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
180,A,"{'card': 'A', 'shadow': 'B', 'extremist': 'C'}","{'A': 'card', 'B': 'extremist', 'C': 'shadow'}","TEXT: Today, there are reasons to fear that this ""terrorist card"" will be played again. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) card
 B) extremist
 C) shadow
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
181,A,"{'dishes': 'A', 'compass': 'B', 'cautious': 'C'}","{'A': 'dishes', 'B': 'cautious', 'C': 'compass'}","TEXT: Conservative Kudlow dishes on Obama dinner 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) dishes
 B) cautious
 C) compass
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
182,B,"{'wave': 'A', 'storm': 'B', 'extremist': 'C'}","{'A': 'extremist', 'B': 'wave', 'C': 'storm'}","TEXT: The US intelligence community expects that terrorism would survive until 2025, but in slightly different form, suggesting that alQaeda's ""terrorist wave"" might be breaking up. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) extremist
 B) wave
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
183,A,"{'generator': 'A', 'storm': 'B', 'federal': 'C'}","{'A': 'generator', 'B': 'storm', 'C': 'federal'}","TEXT: 0 comments BURLINGTON — Selling a project that relies entirely on sales tax to the largest tax generator in the county was a tough sell Thursday night. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) generator
 B) storm
 C) federal
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
