,normal_question,correct_letter,original,permutation
167,"TEXT: And he has focused on gun suppression: There was a 13 percent increase in gun arrests in the city from 2005 to 2006. Gun is concealed.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) dragon
 B) suppression
 C) concealed
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'suppression': 'A', 'dragon': 'B', 'concealed': 'C'}","{'A': 'dragon', 'B': 'suppression', 'C': 'concealed'}"
168,"TEXT: To him, the gun is a hammer. Gun is concealed.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) concealed
 B) voice
 C) hammer
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'hammer': 'A', 'voice': 'B', 'concealed': 'C'}","{'A': 'concealed', 'B': 'voice', 'C': 'hammer'}"
169,"TEXT: 08-23-2010 I thoroughly detest the stupid fragility of guns in this game. Guns are controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) fragility
 C) dragon
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'fragility': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'fragility', 'C': 'dragon'}"
170,"TEXT: Yet if we are to rescue the people of South Asia from the scourge of poverty, disease, war, ignorance, pestilence and hunger, this is the model to follow. Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) scourge
 B) widespread
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'scourge': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'scourge', 'B': 'widespread', 'C': 'storm'}"
171,"TEXT: The examples and case studies he places under the microscope range from the ancient to the modern, and from the popular to the unpopular faces of populism, as well as from classical to parliamentary to postmodern and cultural politics. Populism is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) mirror
 C) faces
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'faces': 'A', 'mirror': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'mirror', 'C': 'faces'}"
172,"TEXT: In the chart below, also set for end date 21 December 2012, you can see the pattern of the wave for the invasion of Poland on 1st September 1939. Invasion is military.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) wave
 B) wildfire
 C) military
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'wave': 'A', 'wildfire': 'B', 'military': 'C'}","{'A': 'wave', 'B': 'wildfire', 'C': 'military'}"
173,"TEXT: About 1876, a new tide of immigration into the Dakotas began, as would-be farmers and ranchers from the East Coast and from northern Europe found their way into the rich grasslands of the high plains. Immigration is challenging.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bridge
 B) tide
 C) challenging
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'tide': 'A', 'bridge': 'B', 'challenging': 'C'}","{'A': 'bridge', 'B': 'tide', 'C': 'challenging'}"
174,"TEXT: Overall, New Hampshire remains ranked 49th among states in combined average state and local tax burden. Tax is federal.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) burden
 B) storm
 C) federal
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'burden': 'A', 'storm': 'B', 'federal': 'C'}","{'A': 'burden', 'B': 'storm', 'C': 'federal'}"
175,"TEXT: Others will go to great lengths to explain how the hijab is an obstacle, clouding the mind, and comment that female converts are either brainwashed, stupid or traitors to their sex. Hijab is elegant.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) culture
 B) elegant
 C) obstacle
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'obstacle': 'A', 'culture': 'B', 'elegant': 'C'}","{'A': 'culture', 'B': 'elegant', 'C': 'obstacle'}"
176,"TEXT: As above, the model does not produce a confidence interval or precision estimates; however, as an approximate measure of uncertainty, we entered the lower and upper bounds of the precision estimate for the malaria mortality burden from Group 1 countries (i.e., 19.8% and 24.9%) into the Jones and others model. Malaria is mosquito-borne.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) mosquito-borne
 B) storm
 C) burden
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'burden': 'A', 'storm': 'B', 'mosquito-borne': 'C'}","{'A': 'mosquito-borne', 'B': 'storm', 'C': 'burden'}"
177,"TEXT: This was an elaborate war game, not the real thing, but it reminds us that an invasion of Iraq won't necessarily be a cakewalk."" Invasion is strategic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) strategic
 B) cakewalk
 C) wildfire
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'cakewalk': 'A', 'wildfire': 'B', 'strategic': 'C'}","{'A': 'strategic', 'B': 'cakewalk', 'C': 'wildfire'}"
178,"TEXT: Donor nations, including Britain, are funding training and infrastructure projects in the belief that tourism is the country's route out of poverty. Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) route
 B) widespread
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'route': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'route', 'B': 'widespread', 'C': 'storm'}"
179,"TEXT: How to tell if the religion or faith-based system you follow is false Religion is sacred.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bridge
 B) sacred
 C) system
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'system': 'A', 'bridge': 'B', 'sacred': 'C'}","{'A': 'bridge', 'B': 'sacred', 'C': 'system'}"
180,"TEXT: Today, there are reasons to fear that this ""terrorist card"" will be played again. Terrorist is extremist.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) card
 B) extremist
 C) shadow
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'card': 'A', 'shadow': 'B', 'extremist': 'C'}","{'A': 'card', 'B': 'extremist', 'C': 'shadow'}"
181,"TEXT: Conservative Kudlow dishes on Obama dinner Conservative is cautious.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) dishes
 B) cautious
 C) compass
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'dishes': 'A', 'compass': 'B', 'cautious': 'C'}","{'A': 'dishes', 'B': 'cautious', 'C': 'compass'}"
182,"TEXT: The US intelligence community expects that terrorism would survive until 2025, but in slightly different form, suggesting that alQaeda's ""terrorist wave"" might be breaking up. Terrorist is extremist.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) extremist
 B) wave
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'wave': 'A', 'storm': 'B', 'extremist': 'C'}","{'A': 'extremist', 'B': 'wave', 'C': 'storm'}"
183,"TEXT: 0 comments BURLINGTON — Selling a project that relies entirely on sales tax to the largest tax generator in the county was a tough sell Thursday night. Tax is federal.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) generator
 B) storm
 C) federal
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'generator': 'A', 'storm': 'B', 'federal': 'C'}","{'A': 'generator', 'B': 'storm', 'C': 'federal'}"
