,prev_text,current_text,source,literal expression suggestion 1,Good or Not? ,,target,third note,literal expression suggestion 2,verbose literal expression,notes,
436,"In previous elections in Ohio, I felt energized by the campaigns.","To be surrounded by politicking in Honduras while pundits fan the flames of the election of my own nation elsewhere is strangely off-putting.
      ",flames,tensions,,0,,,,,,
437,She has spent her career blaming someone else for what she perceives as the failings of society.,"What would make her think that Muslims are secretly shitting shariah all over our beautiful democratic carpet?
      ",carpet,society,,0,,,,,,
438,"WE LOVE DUBYA-4more years 4more years<< I have it on good authority, from the Democrat agit-prop daily commonly disguised as a newspaper called the St. Louis Post Dispatch, that voter turnout for the Democratic primary race was less than dismal.","Even as an open primary where Republicans for Kucinich can don their tinfoil hats and electioneer for him (we got him 2%!!!) there was a drought of voters who actually care who the Democrat candidate is.
      ",drought,shortage,,0,,,,,,
439,"satiricohen, Dec 10th, 2007 @ 1:24pm ""Tragically, it may depend on who politicians are more in bed with: the telcos or the cable cos.""","As long as they're not in bed with the voters -now that would be a disaster... [ reply to this
      ",bed,alliance,,0,,,,,,
440,"Over the last four or five decades, a great deal of political discourse has been reduced to a ham-fisted rhetoric of freedom and murder.","It’s as if there are only two possible issues and only two possible positions: Either abortion is freedom and guns are murder, or guns are freedom and abortion is murder.
      ",murder,not metaphorical,,0,,,,,,
441,"Some professors must, beyond their teaching and research, also become administratorslem was chairman twice from the Fall of 1966 to that of 1969, and again from 1970 to 1972.","From 1975 to his retirement in 1987 Clem served as Undergraduate Advisor, guiding and inspiring his department younger students to navigate the bureaucratic maze of formal requirements and prerequisites to those requirements, but also, and more importantly, to learn and to enjoy learning.
      ",maze,complexity,,0,,,,,,
442,"In the day-to-day rush of business, the details of how Lockheed became a defense giant often get lost.","But “Prophets of War” takes a long look at how the company grew, through its bailouts and the government wizardry that occurred sometimes behind the scenes and sometimes in plain sight.
      ",wizardry,negotiations,,0,,,,,,
443,"Of course, the Joyce Foundation is merely the largest overt funding source for anti-gun propaganda groups.","Virtually all of George Soros organizations have dropped money in the anti-gun pot at various times.
      ",pot,fund,,0,,,,,,
444,"The arrogance of power and wealth and the lofty position that Allah (God) has allowed America to attain, the power that God has allowed America to amass, the influence that God has allowed America to wheel, all of these are like heady wines.","If you drink of the wine of power, the wine of wealth, the wine of influence, you could become drunk and not be able to assess properly your thinking, your actions, your policies or your programs.
      ",wine,excess,,0,,,,,,
445,"In my 11 years as codirector of the child protection team at Boston Medical Center, we reviewed hundreds of reports — an average of five to seven each week — of suspected child abuse or neglect that had been sent to DCF by medical providers in the hospital.","Behind the details of the reports was the relentless and numbing backdrop of poverty: homelessness, inadequate housing and food, chronic medical problems, family violence.
      ",backdrop,the context,,0,,,,,,
446,"It’s garbage, of course.","Absolute nonsense, pathetic trivia, rubbish dredged up from the democratic depths of the Internet.
      ",depths,source,,0,,,,,,
447,"He gave examples of this, such as:","Interpretation in the light of the Quran: such as a rope meaning a covenant, because Allaah says (interpretation of the meaning):
      ",light,guidance,,0,,,,,,
448,"Unfortunately, their efforts over-inflate the worth of some work, they upset the established social and religious norms, they create new discrimination, and worst of all, they further bloat the power of the government.","Seeking to right some perceived wrong, they cling to the skirt of government, like children looking to have their nanny/parent solve all their problems.
      ",skirt,authority,,0,,,,,,
449,"The demise of the term “capitalism” may not be inevitable but the course currently being pursued in its name points toward systemic collapse, followed by repressive fascism and/or violent revolution.","A third possibility, that of peaceful revolution, is currently blocked through the effective freezing of government by the forces of gigantic corporations which continue to prove themselves out of the control of human beings.
      ",freezing,stopping of procedures,,0,,,,,,
450,It was soon adopted by political operatives in both parties to describe the lines used in interviews to defend their positions and attack those of the opposition.,"We should all be worried that so few people seem to find this vast deployment of high-level bureaucratic energy on behalf of mere news management scandalous.
      ",energy,effort,,0,,,,,,
451,"Some Uncomfortable Numbers About Guns in America-The Wire Interesting that the most vulnerable group of people at least by todays propaganda, own the least amount of guns (women).","And why do I use the term gun loon so often..
      ",loon,not metaphorical,,0,,,,,,
452,"Meet other local people interested in Sufism, a mystical path that teaches how to connect with God through the heart.","We meet for our sufi healing prayer circles (dhikr - pronounced ""zikr"") weekly.
      ",circles,not metaphorical,,0,,,,,,
453,Taxes are both the carrot and the stick in a passive-aggressive whack-a-mole arcade game government carnival designed to make us better people whether we like it or not.,"Taxes are the lubricant that keep the country moving.
      ",lubricant,funding,,0,,,,,,
454,[EMPTY],"Tying human rights to humanitarian aid gets to the heart of structural poverty: power politics.
    ",heart,cause,,0,,,,,,
455,[EMPTY],"The “slow cooking frog” has awakened due to the searing heat of government.
    ",heat,pressure,,0,,,,,,
456,Their decision might influence another church down the street and so on.,"One could (although not likely) get a cascade effect from a relatively small number of initial seed voters.
      ",seed,beginning,,0,,,,,,
457,[EMPTY],"""That puts us that much further ahead in our wealth journey because he's got the experience, he's got great staff and he knows all the geography.""
    ",journey,lesson,,0,,,,,,
458,It is yours just as much as his.,"Government fraud and waste has been a staple of governments since the dawn of bureaucracy.
      ",dawn,beginning,,0,,,,,,
459,"We werent rich by anybodys standards, Amason says, but it didnt bother us because we worked for ourselves.","Harvey, like most farmers, relied on cyclical operating loans to pay expenses in advance of the income-generating harvest.
      ",harvest,profits,,0,,,,,,
460,"How can we abandon diplomacy when the turmoil in the world cries out for diplomacy?""","No one bothered to answer him, but as the vast American military machine now planted in Iraq begins to stir restlessly in other directions in the name of the American people, their love of freedom, and their deep-seated values, these questions give urgency to the failure, if not the corruption of democracy that we are living through.
      ",corruption,misuse of institutions,,0,,,,,,
461,"I think their “reasoning” goes, “we are right, so right-thinking people agree with us, and most people think normally, so most people must agree with us, so we are the majority and will win the vote.","So if we don’t, there must be something wrong with the mechanism of the election, because obviously it can’t reflect the way The American People think, since they agree with us, because they, by definition, think the right way, and that means the way we do.”
      ",mechanism,system,,0,,,,,,
462,"The major media has not shown or reported the truth in over 40 years in my opinion, but today there are way too many alternate sources to sweep the truth away.","There is going to be a taxpayer tsunami that sweeps the nation on this issue.
      ",tsunami,public outcry or widespread protest,,0,,,,,,
463,"Its not violence OR non-violence, resistance OR acquiesence, run OR freeze--it's when and how and why.","Timing with a capital T. Consistency is what THEY say you (poor people) must exhibit while they revel in the flexibility of wealth, which is rigid compared to the true freedom of choice available to people with integrity.
      ",flexibility,options,,0,,,,,,
464,"The ""income poor"" may in fact have chosen poorly served peripheral locations precisely because they are the places where their overall welfare (in terms of availability of shelter, access to activities, etc) is best served.","High transport cost is then a symptom of their poverty rather than its fundamental cause.
      ",symptom,effect,,0,,,,,,
465,In The Station Agent the culprit is prejudice against people who are different in some way.,"In The Visitor it is when people are treated not as persons but as ciphers caught in the cold talons of bureaucracy shaped by the letter of the law.
      ",talons,rules,,0,,,,,,
466,HUNTER SAFETY & EDUCATION,"Across the United States, the NRA advances and teaches hunter safety, maintains and defends hunting as a shooting sport, and promotes hunting as a viable and necessary method of fostering the propagation, growth and wise use of renewable wildlife resources.
      ",advances,promotes,,0,,,,,,
467,"While they label themselves as political novices and Washington outsiders, the truth is that they're political pariahs and outside of the American mainstream.","Their brand of oppression and obstructive politics through intimidation and exclusiveness must be extinguished by a rain of Democracy.
      ",rain,next election,,0,,,,,,
468,2.,"A bearish trend that seeks to re-calibrate the bullish mindset through devastation of wealth In either case, the goal is the same: To create a dislocation in market psychology that yields the ammunition necessary to take on the convergence of technical resistance points we are currently facing.
      ",devastation,Financial Loss,,0,,,,,,
469,That's what makes you ill.,"The organism that causes gonorrhea (gonococcus) is an example of a bacterial invader.
      ",example,not metaphorical,,0,,,,,,
470,"Twenty years was time enough for Vladimir Putin to resurrect Russia, and this time around, he appears intent on beating the West at its own game.","Putin understands that the fall of the Soviet Union occurred because it was focused on not losing an arms race instead of winning a wealth race.
      ",race,economic growth,,0,,,,,,
471,"Therefore, the second amendment needs to be restated so that those who associate owning a gun with the militia are not confused with those who believe owning a gun is a separate and equal constitutional right.","In all good conscience, I cannot conclude that the elimination of certain types of guns or the expansion of guns is the answer to our violence issues.
      ",expansion,increase,,0,,,,,,
472,Thus we have two utterly different views of democracy.,"For individualists, democracy is the servant of liberty, and is concerned only with the means of governing.
      ",servant,?,,0,,,,,,
473,[EMPTY],"Voters approved a tax freeze for seniors and people with disabilities in 2006, and now local governments strapped for cash are coming back to them with hands out.
    ",freeze,increase prevention,,0,,,,,,
474,"would never presume to tell their 'elders' that they have to take my advice. However, I do believe the IRS would have something to say about that. And even if the IRS said, ""well, it's their religion"" and threw their","hands up, seemingly settling the matter (the equivalent of the bishop of taxation just saying it's this way and it's final), that doesn't mean we can't lobby congress, or decide not to have anything to do with them, or not to
      ",bishop,authority,,0,,,,,,
475,No people of which they knew had ever been without a central coercive organization.,"Their own existence as a nation was secured through war, the father of government, and at least enough for that purpose they thought must be maintained.
      ",father,origin,,0,,,,,,
476,[EMPTY],"In fact, he shot back that it was more than offensive when a sitting member of Congress should target a “watchdog of democracy”: -
    ",watchdog,journalist or news organization,,0,,,,,,
477,You can’t redistribute what doesn’t exist and if there are no wealthy people there will be no wealth.,"The cause of poverty is not rich people it is the suppression of wealth and wealth creation.
      ",suppression,prevention,,0,,,,,,
478,[EMPTY],"i can't imagine the ""gun calculus"" that presented you with this particular decision.
    ",calculus,logic,,0,,,,,,
479,"In the past twenty years, democracy promotion has been a particularly significant part of U.S. foreign policy.","One reason has been the unfolding of ``the third wave'' of democratization in the world, the expansion of democracy that began in Southern Europe in the mid-1970s, spread to Latin America and parts of Asia in the 1980s, then accelerated dramatically from 1989 on with the fall of the Berlin Wall, the breakup of the Soviet Union, the unexpected surge of democratic openings in sub-Saharan Africa, and further democratization in Asia.
      ",expansion,growth,,0,,,,,,
480,A Judiciary appointed by the President and approved by the Senate would arbitrate all disputes. A damn good system and one that clearly emanated from the role and power of the States. Reality sets in and the dog starts running,"Through the passage of the years, the Federal government has grown from a lean, agile and responsive body to a behemoth of gargantuan proportions fueled by an ever increasing and complex body of taxes which continues to grow unchecked.  No honest man can even pretend to understand the current Tax Code. The Federal government is now massive with functional responsibilities so large as to literally subsume and dwarf the role of the States.
      ",body,government,,0,,,,,,
481,"It is the urgency of sustaining a relentless commitment to the improvement of the life of the human species, of the respective nations, and of the development of the individual's powers of creativity employed to those ends, which measures truth in practice, per capita and per square kilometer.","On precisely that account, Plato knew from bitter personal experience the disaster represented by the rule of democracy.
      ",rule,control,,0,,,,,,
482,[EMPTY],"Opponents of the Antalya Conference, and supporters of the Brussels meeting, critics of the Semiramis gathering, and critics of the criticsC* welcome to the maze of democracy.
    ",maze,complexity,,0,,,,,,
483,"``From Day One, Aristide has to pacify the country and reassure people, or else Haiti will slip over the precipice of violence,'' said the businessman, who asked not to be named for fear of reprisals.","``In Haiti, people believe authority is a gun.''
      ",authority,violence,,0,,,,,,
484,"Now, donors can secretly give as much as they wish.","Democracy wilts under the cover of secrecy.
      ",wilts,?,,0,,,,,,
485,"A all powerful leader who acts in the best interest of his country is the best option, but human nature being what it is those are few and far between.","A democracy is insurance against the bad dictator who exploits the people to hold onto power.
      ",insurance,institutions,,0,,,,,,
486,", other countries – particularly China – will be happy to buy the extra supplies. And like many large oil exporters, Russia manages to attract foreign investment in its oil and gas industry, no matter how badly it treats them. If a government anticipates that it","can sell its main export irrespective of its foreign policy behavior, then abiding by bothersome international norms and institutions becomes less of a priority. A large fraction of the world’s rogue regimes – Iran, Venezuela, Sudan, Libya (under Qaddafi) and Iraq (
      ",rogue,unconventional,,0,,,,,,
487,The last one for this issue of the newsletter is called Prosperity.,"Whenever you think or say the word rosperity,a program will begin to run that will clear anything that is anchoring, supporting or creating blocks to accepting, allowing and aligning with the divine ideal flow of prosperity.
      ",flow,process,,0,,,,,,
488,"As a result, nearly everyone agreed during the debate over the Constitution that the federal government needed a power to tax.","But many sensibly feared that this necessary tool of government might become the tool of government oppression it had so recently been in the hands of the British Parliament.
      ",tool,power,,0,,,,,,
489,Supporters in the House said the bill was a good step toward stopping the state from giving special breaks to companies that can afford to lobby them and broadening the availability to EDGE credits for employers with less than 100 employees by eliminating a $1 million capital spending requirement.,"The legislation came after a special house committee that was weighing the tax climate for Illinois businesses was unable to reach a consensus on any substantial recommendations.
      ",climate,business environment,,0,,,,,,
490,[EMPTY],"While reform may be needed as a constitutional lubricant, or it may simply be politics under another name; it is also true that reform is necessary to shake out embedded deadwood and reinvigorate complacent organizations
    ",lubricant,change,,0,,,,,,
491,[EMPTY],"Sn’t it wrong to try to gather a rich harvest of democracy immediately, simply because the seed of democracy has sprouted in your own brain?
    ",harvest,results,,0,,,,,,
492,Many of the early Polish immigrants came from the same villages in Europe.,"This common phenomenon is known as ""chain migration.""
      ",chain,sequence,,0,,,,,,
493,The author examines historical trends in marriage patterns in England and describes what he calls the Malthusian marriage system using data from a variety of published sources and from two sets of parish records for the years 1400-1840.,"In the first section, the author discusses relevant portions of the works of Darwin and Malthus and outlines the nature and origins of the Malthusian marriage system.
      ",system,not metaphorical,,0,,,,,,
494,The economic recession and stringent economic adjustment programme that Jordan has gone through since the early 1980s have resulted in lower living standards and higher rates of poverty and unemployment.,"Poverty debilitates women and impairs their access to health care, proper nutrition and well-being in general.
      ",debilitates,not metaphorical,,0,,,,,,
495,"You should at least have a basic legal and lawful knowledge of the delegated Authorities and the qualifications possessed by, delegated to, or not delegated to, the claiming ""Taxer"".","Without being informed, you have no defense against despotism, bureaucratic slavery, tyranny and the resulting poverty, injury, secret wars, and other violations being committed against you and the National Constitution.
      ",slavery,oppression,,0,,,,,,
496,[EMPTY],"The dissertation examines the tie between campaign spending and voter calculus where candidates’ platforms are perceptually fixed.
    ",calculus,decision-making process,,0,,,,,,
497,Top Rated Articles,"A look at the death and the Hereafter in the light of the Qur'an…
      ",light,guidance,,0,,,,,,
498,Who are you gonna trust to preserve SS and Medicare for example--the guy who's been lying about his oppositions positions on the matter in an effort to hide the deleterious effects of his own.,"Furthermore, it's rather clear that the Mutt intends to ride his ""trust me!"" train to the election destination, so a derailment and pileup is desirable.
      ",destination,victory,,0,,,,,,
499,"Nationally, guns are used about 50 percent of the time.","Yet in Wyoming, Ayers says, you have to divorce guns and suicide.
      ",divorce,separate,,0,,,,,,
500,Shooting instructions Click to Enlarge,"Leaping towards the Land Rover, my Sten fired accidentally, a stream of bullets flying in all directions.
      ",stream,bullets,,0,,,,,,
501,[EMPTY],"America just digs its ersatz-democracy hole deeper with these nationalized political parties that preclude real choice at the polls.
    ",hole,problem,,0,,,,,,
502,"As we enter 2009, the U.S. position in the world is extremely different than it was 16 years earlier.","We are no longer the low-tax beacon of the major industrialized world.
      ",beacon,example,,0,,,,,,
503,[EMPTY],"The legislation would 'free the people from the straitjacket of government' and would promote greater civic responsibility, according to Conservative party sources.
    ",straitjacket,regulations,,0,,,,,,
504,Muffled Vociferation,"Europe - The theft of democracy - YouTube
      ",theft,loss,,0,,,,,,
505,"Evading the Constitution and its inherent Amendment process and under the guise of promoting economic recovery, he significantly expanded federal government intrusion into most areas of life.","This departure from the Constitution allowed civil government to begin reshaping society according to the whims of those in power rather than allowing individuals the liberty to shape their own lives.
      ",departure,change,,0,,,,,,
506,[EMPTY],"They aren't the pope of guns.
    ",pope,authority,,0,,,,,,
507,"Mars has been “running wild” (i.e., like a loose cannon) in Capricorn for most of this month, suggesting no-nonsense, assertive or aggressive action, for better or for worse.","Mars also refers to firearms, and is one of the planetary patterns being reflected by the continued domination of guns in the headlines…and it’s not just talk; it’s action!
      ",domination,prevalence,,0,,,,,,
508,"Last Modified: Monday, November 14, 2011 at 11:52 a.m. Mention gout, and some people conjure visions of Henry VIII hobbling around his castle with a turkey leg in one hand and a goblet of wine in the other.","Gout long was considered an affliction of wealth.
      ",affliction,not metaphorical,,0,,,,,,
509,"In the Gilded Age, these taxation levels did not exist, which allowed for high levels of inequality.","Today, the decline of taxation is directly related to the increase in inequality.
      ",decline,reduction,,0,,,,,,
510,. Rolling forward the account from beginning to end of the year is a good method to help avoid errors.,"10. Test accuracy of tax accounts through any changes in the “tax reserves for additional tax assessments.” This reserve is the item that most companies refer to as the “tax cushion.” In reality, it is the liability for tax exposures. Any
      ",cushion,I couldn't come up with a target.,,0,,,,,,
511,"Building the new tools for getting out the vote, getting out the corruption, and going hyper-local","Four experts in web services and data aggregation will showcase their offerings, ranging from sophisticated new voter file tools to services mashing up all kinds of data on infl...
      ",tools,software,,0,,,,,,
512,"The Emergence of Intellectual Conservatism and the Transformation of Economic Discourse Unformatted Document Text: 43 These studies amplified and gave credence to the claims of business groups that regulatory compliance was stifling innovation, production, and employment.","A similar story unfolded in the domain of taxation.
      ",domain,study,,0,,,,,,
513,The practice of handling every crisis internally from within the Department of Corrections with no outside verification has to stop. Maine State Prison has for far too long enjoyed a history of creating its own reality and ignoring the right of the public to know what is going on in there on the grounds that its task is beyond public understanding.,"The death of Victor Valdez has been swept under the bureaucratic carpet by the AG’s report. We wonder what the evidence did show. There is evidence that a critically ill prisoner was placed in solitary for disciplinary reasons rather than under care for medical reasons. There
      ",carpet,secrets,,0,,,,,,
514,Deck-chair adjustments such as skipping Saturday delivery won’t fix the problems.,"Policy prescriptions for the USPS train wreck depend on whether we want it to remain a government chattel or become a private enterprise.
      ",chattel,I couldn't come up with a target.,,0,,,,,,
515,"President Clark Kerr dreamed up the frightening metaphors: ""the knowledge industry,"" ""the multiversity,"" which has as many faces as it has publics, be they industries of various kinds, or the Federal Government, especially the Pentagon and the AEC [Atomic Energy Commission].","He also invented the title ""the captain of bureaucracy,"" which he is, by analogy with earlier captains of industry.
      ",captain,leader,,0,,,,,,
516,"If we give, we shall receive.","The birthright of wealth can sometimes cause a person to look down with disdain at another less fortunate.
      ",birthright,inheritance,,0,,,,,,
517,Japanese companies that have come to dominate the markets for automobiles and electronic equipment would be once again faced with dynamic American ingenuity and investment.,"There is nothing wrong with our national economy today that free and dynamic competition cannot resolve, but to get to that point from here, we must first abolish the disease of taxation and regulation that prevents eager and creative Americans from doing those things that are necessary.
      ",disease,problem,,0,,,,,,
518,"The framers of the constitution were, without exception, rich white males worried about a popular uprising.","Under the draperies of democracy, they designed a political system where decision making power was insulated from the general population and easily controlled by the rich and powerful.
      ",draperies,appearance,,0,,,,,,
519,It’s only a matter of time until we lose what power we have to the emerging countries of the likes of China and India.,"China is in its infancy of wealth so they have yet to see a fundamental shift of greedier consumer behavior but it is something all wealthy economies must face.
      ",infancy,early stage,,0,,,,,,
520,Your article has been sent.,"WASHINGTON—Americans are getting an election-year tax present.
      ",present,tax cut,,0,,,,,,
521,"Student media were also out in full force, filming footage for their school’s news station or getting quotes for their campus newspaper.","These many different forms of political involvement were brought together in one small space, which certainly looked like a living panorama of democracy in action.
      ",panorama,I couldn't come up with a target.,,0,,,,,,
522,Saddam is gone.,"Democracy rages and peace is at hand.
      ",rages,increase,,0,,,,,,
523,"Within this developmental trap, generation after generation of families have failed to bring the adequate stimulation to following generations such as economic, social, and intellectual development.","These families lack a chance, they lack the full education which was denied to them through failing urban school systems, they lack the economic means and connections to escape from the pit of poverty.
      ",pit,situation,,0,,,,,,
524,It's something that some media followers have picked up on.,"But several of them want to characterize that as a disintegration of bureaucracy.
      ",disintegration,change,,0,,,,,,
525,"Ulfelder draws on an original dataset of 110 democratic failures spanning 1955–2007 and also presents analytic narratives for six cases (Cyprus, Fiji, Spain, Thailand, Ukraine, and Venezuela) to illustrate why some governments survive while others collapse.","Focusing on political parties and the military as key players in the ""democracy game,"" he sheds light on the pathways by which new democracies slide all too often from founding elections to polarization and breakdown.
      ",game,politics,,0,,,,,,
526,"That, however, is not the meaning the union bosses want slipped into the Nevada constitution.","What they have in mind instead is a well-designed taxpayer ambush, down in the definitions, that gives them a key to the state treasury.
      ",ambush,I couldn't come up with a target.,,0,,,,,,
527,No criticism whatsoever of a Palestinian referendum.,"The Palestinians, in Kershner's view, are entitled to a big dose of democracy, but not the Israelis.
      ",dose,instituions,,0,,,,,,
528,[EMPTY],"the reign of the NRA is coming to an end and this is its last - albeit very inappropriate - dance.
    ",reign,era,,0,,,,,,
529,"To have many goats was to be wealthy, though perhaps it also meant that you were taking on too much blessing for yourself.","In a Christian point of view we can easily say that wealth is an enemy of faith.
      ",enemy,antithisis,,0,,,,,,
530,"A plurality of Iowans in The Des Moines Register’s Iowa Poll late last month said Biden is a liability to the ticket, with independents saying so by an 11-percentage-point margin.","Thursday night’s CNN poll demonstrated that voters felt Ryan was more likable, by a 10-point margin, evidence that the Biden performance might have ruffled the feathers of voters wanting a civil debate.
      ",feathers,feelings,,0,,,,,,
531,This is a society that is regularly going through famines.,"When I campaigned for President, I said we will never use food as a diplomatic weapon.
      ",weapon,leverage,,0,,,,,,
532,[EMPTY],"Fear-mongering is not something a civilized democracy perpetrates upon its people, that is something more akin to totalitarian dictatorship.
    ",perpetrates,not metaphorical,,0,,,,,,
533,So the proper term for that is not democracy; it’s plutocracy.,"Where once government was an arm of public service, it is now very much a tool of wealth and corporate power.
      ",tool,,,0,,,,,,
534,An iceberg of politics and corrupt thought.,"The stone pelting trend taht has come up,recently, and become popular so much so that now onwards children would want to play with stones rather than toy-guns. i remember once a friend who remarked in a discussion that children in Kashmir were born with the instinct of guns. he justified himself by saying something we witness almost everytime, whenever you buy a little kid a cricket bat after some time he will hold the same bat as a gun while playing chor-police, they would make a gun out of any toy.Although i might not go with all of his thoughts bit i did marvel at the thought.
      ",instinct,not metaphorical,,0,,,,,,
535,"Some politician willing to serve only the twoyear period before the next election should be appointed and then he or she (for example, Geraldine Ferrera) should step down and let the chips fall where they may.","If Kennedy wants the seat, she should have to fight for it in the election cauldron.
      ",cauldron,electoral process,,0,,,,,,
536,"“I want the students to know that we are the servants of the student body, servants that exercise digression,” said Pine.","“Senate is a portal between the student body and the college that gives the student body leverage on requests.
      ",portal,?,,0,,,,,,
537,"When all you have is a hammer, every problem looks like a nail.","The NRA hammers away.
      ",hammers,lobbying,,0,,,,,,
538,Democrats Push to Raise Taxes at the Pump Instead of Cutting Spending By Assemblyman Martin Garrick California has a $19.1 billion dollar deficit.State government is overspending by $52.3 million dollars per day.But legislative Democrats reject all serious plans to shrink the size of state government.,"Democrats claim that if we tighten the belt of government, this will cost jobs.
      ",belt,budget,,0,,,,,,
539,Begala himself is suggesting that the issue excites members of the GOP base much more than the members of the Democratic base.... which is why he suggests going on the offense.,"We are actually drawing to a close for the first chapter of Obamacare..
      ",chapter,phase,,0,,,,,,
540,It is not only right and proper as a political vision; it is the essence of the American spirit.,"Limited government is a framework that conservatives, libertarians, and fiscally-concerned moderates and independents can rally around.
      ",framework,I couldn't come up with a target.,,0,,,,,,
541,The Supreme Court has upheld the law.,"To now attach the law to the running of the government and use it as a bargaining chip would set a dangerous precedent that takes us out of the realm of democracy and into the realm of anarchy.
      ",realm,state or condition,,0,,,,,,
542,Bottom line: lowering the tax rate is safer than raising it.,"An added advantage is the “starve the beast” effect: Many government employees would benefit from a shrunk government, because it would open their productive energies to more satisfying and more productive careers.
      ",shrunk,level of procedures,,0,,,,,,
543,"And when asked to choose how much the top 20 percent should have, on average respondents said 32 percent--a number similar to the wealth distribution seen in Sweden.","I love the conflagration of wealth and income... very rigorous article.
      ",conflagration,not metaphorical,,0,,,,,,
544,"We should add that the condition is not only common in humanist and free thought groups, but a similar phenomenon exists in many Unitarian‑Universalist congregations.","Obviously the Unitarian‑ Universalist example represents a closely-related syndrome, although the initiating cause is different, and thus it has to be distinguished from the village atheist syndrome.
      ",syndrome,pattern,,0,,,,,,
545,Yet in many states and countries the march of invisible techno-fraud goes on.,"And the world suffers while democracy battles for life.
      ",battles,decrease,,0,,,,,,
546,"The new Iraq is a forgery . . . a fraud . . . a FRAUD, a fraudulent experiment, a fraud of conscience, a fraud of morality . . . a make believe, a lie . . .","Not the BBC, nor the CBS, nor the ABC will tell you any of that . . . they are there to sell you the final product, the experiment . . . the drug of Democracy . . . the FDA approved for consumption.
      ",drug,information or propaganda,,0,,,,,,
547,"Agreed; smoking is a dirty, smelly, disgusting expensive habit and the multitude of health implications are enormous and extremely costly as well.","Many victims are even prematurely hospitalized from the implications of smoking, their lives cut short and governments have allowed the peoples demise through their greed of taxation.
      ",greed,lack of taxation,,0,,,,,,
548,It is intolerable that success is denied because the Pakistani army is clearly unable or unwilling to accomplish the job.,"As matters evolve, despite the infatuation of many U.S. and EU officials with Pakistan's military, planners in Western capitals may finally accept that the rapid metastasis of jihad from safe areas in Pakistan is a hazard requiring immediate action and that the present policy of relying on Pakistan has not worked.
      ",metastasis,spread,,0,,,,,,
549,"He was a prosecutor in Ocean County for a decade, and his family suffered an all-too-familiar tragedy when his father was killed in his home by a handgun-toting stranger on New Year's Eve in 1970.","""I saw enough murder scenes as a prosecutor to know how dangerous handguns are,"" said Sen. Russo, who notes that the Coalition of New Jersey Sportsmen (close cousin to the NRA) has promised to target him for defeat in the race for governor and, eventually, to turn him out of the Senate.
      ",cousin,ally,,0,,,,,,
550,"They've just spent their savings, so they're actually worse off, or they've invested in new business ventures that will come to grief because eventually people will see that their new riches were illusory.","Money is a very powerful economic tool it runs through every bit of the economy.
      ",tool,money,,0,,,,,,
551,[EMPTY],"But I propose the AMaxT entirely to limit the economic damage of taxation, a goal you must consider even if you think it's ""fair"" to take every cent of a rich person's income.
    ",damage,reduction in economic growth,,0,,,,,,
552,"stardingo747 Apr 25, 2009 Tax laws need to be flexible; world economies, at no point in human history, have ever been consistent, there are always ups and downs.","Economic problems stem from the inflexibility of taxation systems.
      ",inflexibility,sameness ,,0,,,,,,
553,"In sum, the imp t on capital will certainly be heavier in 2012 than had been anticipated the previous government, but it remains lower than it was before the arrival of Nicolas Sarkozy at the Elysee .","The inheritance tax is the second central lever of taxation on property.
      ",lever,money increaser,,0,,,,,,
554,"Soon, the rush was on.","Poor people from all over the island descended on Ilakaka with visions of instant wealth.
      ",visions,desires,,0,,,,,,
555,"Call me kookoo, no offense to any members of the kookoo community, but the target of Tropic Thunder's satirical humor is squarely aimed at Hollywood movies and the people who make them, (not to mention the movie going public) and though I don't doubt the sincerity of the boycotters, it seems a little intellectually challenged.","If you came of age on a diet of Vietnam movies where heroes fell dramatically in a rain of bullets -- think the Christ-like demise of the Willem Dafoe character in Platoon or the closer-than-close-up pathos of Tom Cruise in Oliver Stone
      ",rain,bullets,,0,,,,,,
556,UNB Media Ltd (the site design company of LIfe Improvement For Everyone) regularly carry out checks over the Internet to ensure that material included in sites designed by themselves are not infringed upon.,"If any persons or site is found to be in breach of copyright law, UNB Media Ltd will act accordingly in informing Life Improvement For Everyone to commence legal proceedings.
      ",breach,not metaphorical,,0,,,,,,
557,Written by LaVarr Webb on 01 October 2013 .,"Posted in Policy Buzz One of the puzzles of modern politics is that we think Congress is a disaster, as an institution, but we like our own members of Congress.
      ",disaster,inefficiency,,0,,,,,,
558,"From the left, Chait made a version of the same point, worrying that a Roberts-led Court would now be able to advance a much more limited understanding of federal power by “a process of slow constriction,” rather than “one suddenly and transparently partisan attack.”","The right lost the battle, these and other writers agreed, but thanks to Roberts’ savvy it could well be on its way to winning the larger size-of-government war.
      ",war,debate,,0,,,,,,
559,"Posted Aug 18, 2008","LYONS — Three years ago, an advisory team of taxpayers offered suggestions for streamlining Wayne County’s government.
      ",team,not metaphorical,,0,,,,,,
560,"""We have the largest concentration of poverty in the region.""","Those pockets of excellence are draped in a fabric of poverty, leaving school choices too stark for some parents.
      ",fabric,environment,,0,,,,,,
561,posted by nomisxid at 6:19 PM on January 5,"Rose Wilder Lane, the daughter of Laura Ingalls Wilder, is often considered one of the founding mothers of modern libertarianism.
      ",mothers,originators,,0,,,,,,
562,"Upon seeing this for the first time, that stood out to me.","Our society brainwashes us into believing that income is the accurate portrayal of wealth.
      ",portrayal,representation,,0,,,,,,
